country,series,slope,intercept,r_squared,p_value,stderr
Afghanistan,"Death rate, crude (per 1,000 people)",-0.23607260869565222,483.4702607246378,0.8762209515228092,1.8667408825228187e-11,0.0189169454698526
Afghanistan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",-35.44869565217391,72187.30130434783,0.9651534148545857,1.5725643694210352e-17,1.4360542813388688
Afghanistan,"Maternal mortality ratio (national estimate, per 100,000 live births)",,,,,
Afghanistan,"Mortality caused by road traffic injury (per 100,000 population)",,,,,
Afghanistan,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",,,,,
Afghanistan,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",,,,,
Afghanistan,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",,,,,
Afghanistan,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",,,,,
Afghanistan,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",,,,,
Afghanistan,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",,,,,
Afghanistan,"Mortality rate, adult, female (per 1,000 female adults)",-4.248507826086957,8779.467492173913,0.8436368526502818,2.4825555342184375e-10,0.38995501734248167
Afghanistan,"Mortality rate, adult, male (per 1,000 male adults)",-2.0397478260869564,4410.357418840579,0.14739990338627892,0.06400372602876339,1.04589774793641
Afghanistan,"Mortality rate, infant (per 1,000 live births)",-2.6470000000000002,5400.419666666668,0.9803698236618623,2.830771699692426e-20,0.07985640109461434
Afghanistan,"Mortality rate, infant, female (per 1,000 live births)",-2.584434782608696,5270.348898550725,0.9811440616378214,1.8176546557733437e-20,0.07638567523500585
Afghanistan,"Mortality rate, infant, male (per 1,000 live births)",-2.7069130434782607,5524.943086956521,0.9796909760575376,4.1158152838131864e-20,0.0830927124709776
Afghanistan,"Mortality rate, neonatal (per 1,000 live births)",-1.2519130434782608,2565.2980869565213,0.9923438274806277,8.942387313694466e-25,0.023444317433755905
